date,price
1/2/2015,48512
1/5/2015,47517
1/6/2015,48001
1/7/2015,49463
1/8/2015,49943
1/9/2015,48842
1/12/2015,48140
1/13/2015,48042
1/14/2015,47646
1/15/2015,48026
1/16/2015,49017
1/19/2015,47758
1/20/2015,47877
1/21/2015,49224
1/22/2015,49443
1/23/2015,48775
1/26/2015,48577
1/27/2015,48591
1/28/2015,47695
1/29/2015,47762
1/30/2015,46908
2/2/2015,47651
2/3/2015,48964
2/4/2015,49301
2/5/2015,49234
2/6/2015,48792
2/9/2015,49383
2/10/2015,48510
2/11/2015,48240
2/12/2015,49533
2/13/2015,50636
2/18/2015,51280
2/19/2015,51294
2/20/2015,51238
2/23/2015,51281
2/24/2015,51874
2/25/2015,51811
2/26/2015,51761
2/27/2015,51583
3/2/2015,51021
3/3/2015,51304
3/4/2015,50468
3/5/2015,50365
3/6/2015,49981
3/9/2015,49181
3/10/2015,48293
3/11/2015,48906
3/12/2015,48880
3/13/2015,48596
3/16/2015,48848
3/17/2015,50285
3/18/2015,51525
3/19/2015,50954
3/20/2015,51967
3/23/2015,51908
3/24/2015,51506
3/25/2015,51858
3/26/2015,50580
3/27/2015,50095
3/30/2015,51243
3/31/2015,51150
4/1/2015,52322
4/2/2015,53123
4/6/2015,53737
4/7/2015,53729
4/8/2015,53661
4/9/2015,53803
4/10/2015,54214
4/13/2015,54240
4/14/2015,53982
4/15/2015,54919
4/16/2015,54674
4/17/2015,53955
4/20/2015,53761
4/22/2015,54617
4/23/2015,55685
4/24/2015,56594
4/27/2015,55535
4/28/2015,55812
4/29/2015,55325
4/30/2015,56229
5/4/2015,57354
5/5/2015,58052
5/6/2015,57103
5/7/2015,56921
5/8/2015,57149
5/11/2015,57197
5/12/2015,56792
5/13/2015,56372
5/14/2015,56657
5/15/2015,57249
5/18/2015,56204
5/19/2015,55499
5/20/2015,54901
5/21/2015,55112
5/22/2015,54377
5/25/2015,54609
5/26/2015,53630
5/27/2015,54236
5/28/2015,53976
5/29/2015,52760
6/1/2015,53031
6/2/2015,54236
6/3/2015,53523
6/5/2015,52973
6/8/2015,52810
6/9/2015,52816
6/10/2015,53876
6/11/2015,53689
6/12/2015,53348
6/15/2015,53138
6/16/2015,53702
6/17/2015,53249
6/18/2015,54239
6/19/2015,53749
6/22/2015,53864
6/23/2015,53772
6/24/2015,53843
6/25/2015,53110
6/26/2015,54017
6/29/2015,53014
6/30/2015,53081
7/1/2015,52758
7/2/2015,53106
7/3/2015,52519
7/6/2015,52149
7/7/2015,52344
7/8/2015,51782
7/10/2015,52591
7/13/2015,53119
7/14/2015,53239
7/15/2015,52902
7/16/2015,53070
7/17/2015,52342
7/20/2015,51600
7/21/2015,51474
7/22/2015,50916
7/23/2015,49807
7/24/2015,49246
7/27/2015,48736
7/28/2015,49602
7/29/2015,50245
7/30/2015,49897
7/31/2015,50865
8/3/2015,50138
8/4/2015,50058
8/5/2015,50287
8/6/2015,49995
8/7/2015,48577
8/10/2015,49353
8/11/2015,49072
8/12/2015,48388
8/13/2015,48010
8/14/2015,47508
8/17/2015,47217
8/18/2015,47451
8/19/2015,46588
8/20/2015,46649
8/21/2015,45720
8/24/2015,44336
8/25/2015,44545
8/26/2015,46038
8/27/2015,47715
8/28/2015,47154
8/31/2015,46626
9/1/2015,45477
9/2/2015,46464
9/3/2015,47366
9/4/2015,46498
9/8/2015,46762
9/9/2015,46657
9/10/2015,46504
9/11/2015,46401
9/14/2015,47282
9/15/2015,47364
9/16/2015,48553
9/17/2015,48551
9/18/2015,47264
9/21/2015,46590
9/22/2015,46265
9/23/2015,45340
9/24/2015,45292
9/25/2015,44831
9/28/2015,43957
9/29/2015,44132
9/30/2015,45059
10/1/2015,45313
10/2/2015,47033
10/5/2015,47598
10/6/2015,47735
10/7/2015,48914
10/8/2015,49107
10/9/2015,49338
10/13/2015,47363
10/14/2015,46710
10/15/2015,47160
10/16/2015,47236
10/19/2015,47447
10/20/2015,47077
10/21/2015,47026
10/22/2015,47772
10/23/2015,47597
10/26/2015,47209
10/27/2015,47043
10/28/2015,46741
10/29/2015,45628
10/30/2015,45869
11/3/2015,48054
11/4/2015,47710
11/5/2015,48047
11/6/2015,46919
11/9/2015,46195
11/10/2015,46207
11/11/2015,47065
11/12/2015,46884
11/13/2015,46517
11/16/2015,46847
11/17/2015,47248
11/18/2015,47436
11/19/2015,48139
11/23/2015,48150
11/24/2015,48284
11/25/2015,46867
11/26/2015,47146
11/27/2015,45873
11/30/2015,45120
12/1/2015,45047
12/2/2015,44915
12/3/2015,46393
12/4/2015,45361
12/7/2015,45223
12/8/2015,44443
12/9/2015,46108
12/10/2015,45631
12/11/2015,45263
12/14/2015,44747
12/15/2015,44872
12/16/2015,45016
12/17/2015,45261
12/18/2015,43911
12/21/2015,43200
12/22/2015,43470
12/23/2015,44017
12/28/2015,43764
12/29/2015,43654
12/30/2015,43350
1/4/2016,42141
1/5/2016,42419
1/6/2016,41773
1/7/2016,40695
1/8/2016,40612
1/11/2016,39947
1/12/2016,39514
1/13/2016,38944
1/14/2016,39500
1/15/2016,38569
1/18/2016,37937
1/19/2016,38057
1/20/2016,37645
1/21/2016,37717
1/22/2016,38031
1/26/2016,37497
1/27/2016,38376
1/28/2016,38630
1/29/2016,40406
2/1/2016,40570
2/2/2016,38596
2/3/2016,39589
2/4/2016,40822
2/5/2016,40592
2/10/2016,40377
2/11/2016,39318
2/12/2016,39808
2/15/2016,40093
2/16/2016,40948
2/17/2016,41631
2/18/2016,41478
2/19/2016,41543
2/22/2016,43235
2/23/2016,42521
2/24/2016,42085
2/25/2016,41888
2/26/2016,41593
2/29/2016,42794
3/1/2016,44122
3/2/2016,44893
3/3/2016,47193
3/4/2016,49085
3/7/2016,49246
3/8/2016,49102
3/9/2016,48665
3/10/2016,49571
3/11/2016,49639
3/14/2016,48867
3/15/2016,47130
3/16/2016,47763
3/17/2016,50914
3/18/2016,50815
3/21/2016,51172
3/22/2016,51010
3/23/2016,49690
3/24/2016,49657
3/28/2016,50838
3/29/2016,51155
3/30/2016,51249
3/31/2016,50055
4/1/2016,50562
4/4/2016,48780
4/5/2016,49054
4/6/2016,48096
4/7/2016,48513
4/8/2016,50293
4/11/2016,50165
4/12/2016,52002
4/13/2016,53150
4/14/2016,52411
4/15/2016,53228
4/18/2016,52894
4/19/2016,53710
4/20/2016,53631
4/22/2016,52908
4/25/2016,51862
4/26/2016,53083
4/27/2016,54478
4/28/2016,54312
4/29/2016,53911
5/2/2016,53562
5/3/2016,52260
5/4/2016,52553
5/5/2016,51671
5/6/2016,51718
5/9/2016,50990
5/10/2016,53071
5/11/2016,52764
5/12/2016,53241
5/13/2016,51804
5/16/2016,51803
5/17/2016,50839
5/18/2016,50562
5/19/2016,50133
5/20/2016,49723
5/23/2016,49330
5/24/2016,49345
5/25/2016,49483
5/27/2016,49051
5/30/2016,48964
5/31/2016,48472
6/1/2016,49013
6/2/2016,49887
6/3/2016,50620
6/6/2016,50432
6/7/2016,50488
6/8/2016,51629
6/9/2016,51118
6/10/2016,49422
6/13/2016,49661
6/14/2016,48648
6/15/2016,48915
6/16/2016,49412
6/17/2016,49534
6/20/2016,50329
6/21/2016,50838
6/22/2016,50156
6/23/2016,51560
6/24/2016,50105
6/27/2016,49246
6/28/2016,50007
6/29/2016,51002
6/30/2016,51527
7/1/2016,52233
7/4/2016,52569
7/5/2016,51842
7/6/2016,51902
7/7/2016,52015
7/8/2016,53139
7/11/2016,53960
7/12/2016,54256
7/13/2016,54598
7/14/2016,55481
7/15/2016,55578
7/18/2016,56484
7/19/2016,56698
7/20/2016,56578
7/21/2016,56638
7/22/2016,57002
7/25/2016,56873
7/26/2016,56783
7/27/2016,56853
7/28/2016,56667
7/29/2016,57308
8/1/2016,56756
8/2/2016,56162
8/3/2016,57077
8/4/2016,57594
8/5/2016,57661
8/8/2016,57635
8/9/2016,57689
8/10/2016,56920
8/11/2016,58300
8/12/2016,58299
8/15/2016,59146
8/16/2016,58855
8/17/2016,59324
8/18/2016,59166
8/19/2016,59099
8/22/2016,57781
8/23/2016,58020
8/24/2016,57718
8/25/2016,57722
8/26/2016,57716
8/29/2016,58610
8/30/2016,58575
8/31/2016,57901
9/1/2016,58236
9/2/2016,59616
9/5/2016,59566
9/6/2016,60129
9/8/2016,60232
9/9/2016,58000
9/12/2016,58586
9/13/2016,56821
9/14/2016,57059
9/15/2016,57909
9/16/2016,57080
9/19/2016,57350
9/20/2016,57736
9/21/2016,58394
9/22/2016,58994
9/23/2016,58697
9/26/2016,58052
9/27/2016,58382
9/28/2016,59356
9/29/2016,58351
9/30/2016,58367
10/3/2016,59461
10/4/2016,59339
10/5/2016,60254
10/6/2016,60644
10/7/2016,61109
10/10/2016,61668
10/11/2016,61022
10/13/2016,61119
10/14/2016,61767
10/17/2016,62696
10/18/2016,63782
10/19/2016,63506
10/20/2016,63838
10/21/2016,64108
10/24/2016,64060
10/25/2016,63866
10/26/2016,63826
10/27/2016,64250
10/28/2016,64308
10/31/2016,64925
11/1/2016,63326
11/3/2016,61750
11/4/2016,61598
11/7/2016,64052
11/8/2016,64158
11/9/2016,63258
11/10/2016,61201
11/11/2016,59184
11/14/2016,59657
11/16/2016,60759
11/17/2016,59770
11/18/2016,59961
11/21/2016,61070
11/22/2016,61954
11/23/2016,61986
11/24/2016,61396
11/25/2016,61559
11/28/2016,62856
11/29/2016,60987
11/30/2016,61906
12/1/2016,59507
12/2/2016,60316
12/5/2016,59832
12/6/2016,61088
12/7/2016,61414
12/8/2016,60677
12/9/2016,60501
12/12/2016,59179
12/13/2016,59281
12/14/2016,58212
12/15/2016,58396
12/16/2016,58389
12/19/2016,57111
12/20/2016,57583
12/21/2016,57647
12/22/2016,57255
12/23/2016,57937
12/26/2016,58620
12/27/2016,58697
12/28/2016,59782
12/29/2016,60227
1/2/2017,59589
1/3/2017,61814
1/4/2017,61589
1/5/2017,62071
1/6/2017,61665
1/9/2017,61700
1/10/2017,62132
1/11/2017,62446
1/12/2017,63954
1/13/2017,63652
1/16/2017,63831
1/17/2017,64354
1/18/2017,64150
1/19/2017,63951
1/20/2017,64521
1/23/2017,65749
1/24/2017,65840
1/26/2017,66191
1/27/2017,66034
1/30/2017,64302
1/31/2017,64671
2/1/2017,64836
2/2/2017,64578
2/3/2017,64954
2/6/2017,63993
2/7/2017,64199
2/8/2017,64835
2/9/2017,64965
2/10/2017,66125
2/13/2017,66968
2/14/2017,66713
2/15/2017,67976
2/16/2017,67814
2/17/2017,67748
2/20/2017,68533
2/21/2017,69052
2/22/2017,68590
2/23/2017,67461
2/24/2017,66662
3/1/2017,66989
3/2/2017,65855
3/3/2017,66786
3/6/2017,66341
3/7/2017,65742
3/8/2017,64718
3/9/2017,64585
3/10/2017,64675
3/13/2017,65534
3/14/2017,64699
3/15/2017,66235
3/16/2017,65783
3/17/2017,64210
3/20/2017,64884
3/21/2017,62980
3/22/2017,63521
3/23/2017,63531
3/24/2017,63854
3/27/2017,64308
3/28/2017,64640
3/29/2017,65528
3/30/2017,65266
3/31/2017,64984
4/3/2017,65211
4/4/2017,65769
4/5/2017,64775
4/6/2017,64223
4/7/2017,64593
4/10/2017,64650
4/11/2017,64360
4/12/2017,63892
4/13/2017,62826
4/17/2017,64335
4/18/2017,64159
4/19/2017,63407
4/20/2017,63761
4/24/2017,64389
4/25/2017,65148
4/26/2017,64862
4/27/2017,64675
4/28/2017,65403
5/2/2017,66722
5/3/2017,66094
5/4/2017,64863
5/5/2017,65710
5/8/2017,65526
5/9/2017,66278
5/10/2017,67350
5/11/2017,67538
5/12/2017,68222
5/15/2017,68474
5/16/2017,68686
5/17/2017,67540
5/18/2017,61597
5/19/2017,62639
5/22/2017,61673
5/23/2017,62662
5/24/2017,63257
5/25/2017,63227
5/26/2017,64085
5/29/2017,63761
5/30/2017,63961
5/31/2017,62713
6/1/2017,62289
6/2/2017,62511
6/5/2017,62450
6/6/2017,62955
6/7/2017,63171
6/8/2017,62756
6/9/2017,62211
6/12/2017,61700
6/13/2017,61829
6/14/2017,61922
6/16/2017,61626
6/19/2017,62014
6/20/2017,60766
6/21/2017,60762
6/22/2017,61272
6/23/2017,61087
6/26/2017,62188
6/27/2017,61675
6/28/2017,62018
6/29/2017,62239
6/30/2017,62900
7/3/2017,63280
7/4/2017,63232
7/5/2017,63154
7/6/2017,62470
7/7/2017,62322
7/10/2017,63025
7/11/2017,63832
7/12/2017,64836
7/13/2017,65178
7/14/2017,65436
7/17/2017,65212
7/18/2017,65338
7/19/2017,65180
7/20/2017,64938
7/21/2017,64684
7/24/2017,65100
7/25/2017,65668
7/26/2017,65011
7/27/2017,65277
7/28/2017,65497
7/31/2017,65920
8/1/2017,66516
8/2/2017,67136
8/3/2017,66777
8/4/2017,66898
8/7/2017,67940
8/8/2017,67899
8/9/2017,67671
8/10/2017,66992
8/11/2017,67359
8/14/2017,68285
8/15/2017,68355
8/16/2017,68594
8/17/2017,67977
8/18/2017,68715
8/21/2017,68635
8/22/2017,70011
8/23/2017,70478
8/24/2017,71133
8/25/2017,71074
8/28/2017,71017
8/29/2017,71330
8/30/2017,70886
8/31/2017,70835
9/1/2017,71923
9/4/2017,72129
9/5/2017,72151
9/6/2017,73412
9/8/2017,73079
9/11/2017,74319
9/12/2017,74539
9/13/2017,74788
9/14/2017,74657
9/15/2017,75757
9/18/2017,75990
9/19/2017,75974
9/20/2017,76004
9/21/2017,75604
9/22/2017,75390
9/25/2017,74443
9/26/2017,74319
9/27/2017,73797
9/28/2017,73567
9/29/2017,74294
10/2/2017,74360
10/3/2017,76763
10/4/2017,76591
10/5/2017,76618
10/6/2017,76055
10/9/2017,75727
10/10/2017,76897
10/11/2017,76660
10/13/2017,76990
10/16/2017,76892
10/17/2017,76201
10/18/2017,76591
10/19/2017,76283
10/20/2017,76391
10/23/2017,75413
10/24/2017,76350
10/25/2017,76671
10/26/2017,75896
10/27/2017,75976
10/30/2017,74800
10/31/2017,74308
11/1/2017,73824
11/3/2017,73915
11/6/2017,74311
11/7/2017,72415
11/8/2017,74363
11/9/2017,72933
11/10/2017,72166
11/13/2017,72475
11/14/2017,70827
11/16/2017,72512
11/17/2017,73437
11/21/2017,74595
11/22/2017,74519
11/23/2017,74487
11/24/2017,74157
11/27/2017,74059
11/28/2017,74140
11/29/2017,72700
11/30/2017,71783
12/1/2017,72264
12/4/2017,73090
12/5/2017,72546
12/6/2017,73268
12/7/2017,72487
12/8/2017,72732
12/11/2017,72800
12/12/2017,73814
12/13/2017,72914
12/14/2017,72429
12/15/2017,72608
12/18/2017,73115
12/19/2017,72680
12/20/2017,73367
12/21/2017,75133
12/22/2017,75187
12/26/2017,75708
12/27/2017,76073
12/28/2017,76402
1/2/2018,77891
1/3/2018,77995
1/4/2018,78647
1/5/2018,79071
1/8/2018,79379
1/9/2018,78864
1/10/2018,78201
1/11/2018,79365
1/12/2018,79349
1/15/2018,79752
1/16/2018,79832
1/17/2018,81189
1/18/2018,80963
1/19/2018,81220
1/22/2018,81675
1/23/2018,80679
1/24/2018,83680
1/26/2018,85531
1/29/2018,84698
1/30/2018,84482
1/31/2018,84913
2/1/2018,85495
2/2/2018,84041
2/5/2018,81861
2/6/2018,83894
2/7/2018,82767
2/8/2018,81533
2/9/2018,80899
2/14/2018,83543
2/15/2018,84291
2/16/2018,84525
2/19/2018,84793
2/20/2018,85804
2/21/2018,86052
2/22/2018,86686
2/23/2018,87293
2/26/2018,87653
2/27/2018,86935
2/28/2018,85354
3/1/2018,85378
3/2/2018,85761
3/5/2018,86023
3/6/2018,85653
3/7/2018,85484
3/8/2018,84985
3/9/2018,86371
3/12/2018,86900
3/13/2018,86384
3/14/2018,86051
3/15/2018,84928
3/16/2018,84886
3/19/2018,83913
3/20/2018,84164
3/21/2018,84977
3/22/2018,84768
3/23/2018,84377
3/26/2018,85088
3/27/2018,83808
3/28/2018,83874
3/29/2018,85366
4/2/2018,84666
4/3/2018,84623
4/4/2018,84360
4/5/2018,85210
4/6/2018,84820
4/9/2018,83307
4/10/2018,84510
4/11/2018,85246
4/12/2018,85444
4/13/2018,84334
4/16/2018,82862
4/17/2018,84086
4/18/2018,85776
4/19/2018,85824
4/20/2018,85550
4/23/2018,85603
4/24/2018,85469
4/25/2018,85044
4/26/2018,86383
4/27/2018,86445
4/30/2018,86116
5/2/2018,84547
5/3/2018,83288
5/4/2018,83122
5/7/2018,82714
5/8/2018,82956
5/9/2018,84265
5/10/2018,85861
5/11/2018,85220
5/14/2018,85232
5/15/2018,85130
5/16/2018,86537
5/17/2018,83622
5/18/2018,83082
5/21/2018,81815
5/22/2018,82739
5/23/2018,80867
5/24/2018,80122
5/25/2018,78898
5/28/2018,75356
5/29/2018,76072
5/30/2018,76754
6/1/2018,77240
6/4/2018,78596
6/5/2018,76642
6/6/2018,76117
6/7/2018,73851
6/8/2018,72942
6/11/2018,72308
6/12/2018,72754
6/13/2018,72122
6/14/2018,71421
6/15/2018,70758
6/18/2018,69815
6/19/2018,71394
6/20/2018,72123
6/21/2018,70075
6/22/2018,70641
6/25/2018,70953
6/26/2018,71405
6/27/2018,70609
6/28/2018,71767
6/29/2018,72763
7/2/2018,72840
7/3/2018,73668
7/4/2018,74744
7/5/2018,74553
7/6/2018,75008
7/10/2018,74862
7/11/2018,74399
7/12/2018,75856
7/13/2018,76596
7/16/2018,76653
7/17/2018,78130
7/18/2018,77363
7/19/2018,77487
7/20/2018,78571
7/23/2018,77996
7/24/2018,79155
7/25/2018,80218
7/26/2018,79405
7/27/2018,79866
7/30/2018,80276
7/31/2018,79220
8/1/2018,79302
8/2/2018,79637
8/3/2018,81435
8/6/2018,81051
8/7/2018,80347
8/8/2018,79152
8/9/2018,78768
8/10/2018,76514
8/13/2018,77496
8/14/2018,78602
8/15/2018,77078
8/16/2018,76819
8/17/2018,76029
8/20/2018,76328
8/21/2018,75180
8/22/2018,76902
8/23/2018,75634
8/24/2018,76262
8/27/2018,77930
8/28/2018,77473
8/29/2018,78389
8/30/2018,76404
8/31/2018,76678
9/3/2018,76193
9/4/2018,74712
9/5/2018,75092
9/6/2018,76416
9/10/2018,76436
9/11/2018,74657
9/12/2018,75125
9/13/2018,74687
9/14/2018,75429
9/17/2018,76789
9/18/2018,78314
9/19/2018,78169
9/20/2018,78116
9/21/2018,79444
9/24/2018,77984
9/25/2018,78630
9/26/2018,78656
9/27/2018,80000
9/28/2018,79342
10/1/2018,78624
10/2/2018,81594
10/3/2018,83273
10/4/2018,82953
10/5/2018,82322
10/8/2018,86084
10/9/2018,86088
10/10/2018,83679
10/11/2018,82921
10/15/2018,83360
10/16/2018,85718
10/17/2018,85764
10/18/2018,83847
10/19/2018,84220
10/22/2018,85597
10/23/2018,85300
10/24/2018,83064
10/25/2018,84084
10/26/2018,85720
10/29/2018,83797
10/30/2018,86886
10/31/2018,87424
11/1/2018,88419
11/5/2018,89598
11/6/2018,88669
11/7/2018,87714
11/8/2018,85620
11/9/2018,85641
11/12/2018,85525
11/13/2018,84914
11/14/2018,85973
11/16/2018,88515
11/19/2018,87901
11/21/2018,87269
11/22/2018,87477
11/23/2018,86230
11/26/2018,85547
11/27/2018,87891
11/28/2018,89251
11/29/2018,89710
11/30/2018,89504
12/3/2018,89820
12/4/2018,88624
12/5/2018,89040
12/6/2018,88846
12/7/2018,88115
12/10/2018,85915
12/11/2018,86420
12/12/2018,86977
12/13/2018,87838
12/14/2018,87450
12/17/2018,86400
12/18/2018,86610
12/19/2018,85674
12/20/2018,85269
12/21/2018,85697
12/26/2018,85136
12/27/2018,85460
12/28/2018,87887
1/2/2019,91012
1/3/2019,91564
1/4/2019,91841
1/7/2019,91699
1/8/2019,92032
1/9/2019,93613
1/10/2019,93806
1/11/2019,93658
1/14/2019,94474
1/15/2019,94056
1/16/2019,94393
1/17/2019,95351
1/18/2019,96097
1/21/2019,96010
1/22/2019,95103
1/23/2019,96558
1/24/2019,97677
1/28/2019,95444
1/29/2019,95639
1/30/2019,96996
1/31/2019,97394
2/1/2019,97861
2/4/2019,98589
2/5/2019,98311
2/6/2019,94636
2/7/2019,94406
2/8/2019,95343
2/11/2019,94413
2/12/2019,96168
2/13/2019,95842
2/14/2019,98015
2/15/2019,97526
2/18/2019,96510
2/19/2019,97659
2/20/2019,96545
2/21/2019,96932
2/22/2019,97886
2/25/2019,97240
2/26/2019,97603
2/27/2019,97307
2/28/2019,95584
3/1/2019,94604
3/6/2019,94217
3/7/2019,94340
3/8/2019,95365
3/11/2019,98027
3/12/2019,97828
3/13/2019,98904
3/14/2019,98605
3/15/2019,99137
3/18/2019,99994
3/19/2019,99588
3/20/2019,98041
3/21/2019,96729
3/22/2019,93735
3/25/2019,93662
3/26/2019,95307
3/27/2019,91903
3/28/2019,94389
3/29/2019,95415
4/1/2019,96054
4/2/2019,95387
4/3/2019,94491
4/4/2019,96313
4/5/2019,97108
4/8/2019,97369
4/9/2019,96292
4/10/2019,95953
4/11/2019,94755
4/12/2019,92875
4/15/2019,93083
4/16/2019,94333
4/17/2019,93285
4/18/2019,94578
4/22/2019,94588
4/23/2019,95923
4/24/2019,95045
4/25/2019,96552
4/26/2019,96236
4/29/2019,96188
4/30/2019,96353
5/2/2019,95528
5/3/2019,96008
5/6/2019,95009
5/7/2019,94389
5/8/2019,95597
5/9/2019,94808
5/10/2019,94258
5/13/2019,91727
5/14/2019,92092
5/15/2019,91623
5/16/2019,90024
5/17/2019,89993
5/20/2019,91946
5/21/2019,94485
5/22/2019,94361
5/23/2019,93910
5/24/2019,93628
5/27/2019,94864
5/28/2019,96393
5/29/2019,96567
5/30/2019,97457
5/31/2019,97030
6/3/2019,97020
6/4/2019,97380
6/5/2019,95997
6/6/2019,97205
6/7/2019,97821
6/10/2019,97467
6/11/2019,98960
6/12/2019,98321
6/13/2019,98774
6/14/2019,98040
6/17/2019,97623
6/18/2019,99404
6/19/2019,100303
6/21/2019,102013
6/24/2019,102062
6/25/2019,100093
6/26/2019,100689
6/27/2019,100724
6/28/2019,100967
7/1/2019,101340
7/2/2019,100605
7/3/2019,102043
7/4/2019,103636
7/5/2019,104090
7/8/2019,104530
7/10/2019,105817
7/11/2019,105146
7/12/2019,103906
7/15/2019,103803
7/16/2019,103775
7/17/2019,103856
7/18/2019,104717
7/19/2019,103452
7/22/2019,103950
7/23/2019,103704
7/24/2019,104120
7/25/2019,102655
7/26/2019,102819
7/29/2019,103483
7/30/2019,102933
7/31/2019,101812
8/1/2019,102126
8/2/2019,102674
8/5/2019,100098
8/6/2019,102164
8/7/2019,102782
8/8/2019,104115
8/9/2019,103996
8/12/2019,101915
8/13/2019,103300
8/14/2019,100258
8/15/2019,99057
8/16/2019,99806
8/19/2019,99469
8/20/2019,99222
8/21/2019,101202
8/22/2019,100011
8/23/2019,97667
8/26/2019,96430
8/27/2019,97276
8/28/2019,98194
8/29/2019,100524
8/30/2019,101135
9/2/2019,100626
9/3/2019,99681
9/4/2019,101201
9/5/2019,102243
9/6/2019,102935
9/9/2019,103181
9/10/2019,103032
9/11/2019,103446
9/12/2019,104371
9/13/2019,103501
9/16/2019,103680
9/17/2019,104617
9/18/2019,104532
9/19/2019,104339
9/20/2019,104817
9/23/2019,104638
9/24/2019,103876
9/25/2019,104481
9/26/2019,105319
9/27/2019,105078
9/30/2019,104745
10/1/2019,104053
10/2/2019,101031
10/3/2019,101516
10/4/2019,102551
10/7/2019,100573
10/8/2019,99981
10/9/2019,101249
10/10/2019,101817
10/11/2019,103832
10/14/2019,104302
10/15/2019,104490
10/16/2019,105423
10/17/2019,105016
10/18/2019,104729
10/21/2019,106022
10/22/2019,107381
10/23/2019,107544
10/24/2019,106986
10/25/2019,107364
10/28/2019,108187
10/29/2019,107556
10/30/2019,108408
10/31/2019,107220
11/1/2019,108196
11/4/2019,108779
11/5/2019,108719
11/6/2019,108360
11/7/2019,109581
11/8/2019,107629
11/11/2019,108367
11/12/2019,106751
11/13/2019,106060
11/14/2019,106557
11/18/2019,106269
11/19/2019,105864
11/21/2019,107497
11/22/2019,108692
11/25/2019,108424
11/26/2019,107059
11/27/2019,107708
11/28/2019,108290
11/29/2019,108233
12/2/2019,108928
12/3/2019,108956
12/4/2019,110301
12/5/2019,110622
12/6/2019,111126
12/9/2019,110977
12/10/2019,110672
12/11/2019,110964
12/12/2019,112200
12/13/2019,112565
12/16/2019,111896
12/17/2019,112616
12/18/2019,114315
12/19/2019,115131
12/20/2019,115121
12/23/2019,115863
12/26/2019,117203
12/27/2019,116534
12/30/2019,115645
1/2/2020,118573
1/3/2020,117707
1/6/2020,116878
1/7/2020,116662
1/8/2020,116247
1/9/2020,115947
1/10/2020,115503
1/13/2020,117325
1/14/2020,117632
1/15/2020,116414
1/16/2020,116704
1/17/2020,118478
1/20/2020,118862
1/21/2020,117026
1/22/2020,118391
1/23/2020,119528
1/24/2020,118376
1/27/2020,114482
1/28/2020,116479
1/29/2020,115385
1/30/2020,115528
1/31/2020,113761
2/3/2020,114629
2/4/2020,115557
2/5/2020,116028
2/6/2020,115190
2/7/2020,113770
2/10/2020,112570
2/11/2020,115371
2/12/2020,116674
2/13/2020,115662
2/14/2020,114381
2/17/2020,115309
2/18/2020,114977
2/19/2020,116518
2/20/2020,114586
2/21/2020,113681
2/26/2020,105718
2/27/2020,102984
2/28/2020,104172
3/2/2020,106625
3/3/2020,105537
3/4/2020,107224
3/5/2020,102233
3/6/2020,97997
3/9/2020,86067
3/10/2020,92214
3/11/2020,85171
3/12/2020,72583
3/13/2020,82678
3/16/2020,71168
3/17/2020,74617
3/18/2020,66895
3/19/2020,68332
3/20/2020,67069
3/23/2020,63570
3/24/2020,69729
3/25/2020,74956
3/26/2020,77710
3/27/2020,73429
3/30/2020,74639
3/31/2020,73020
4/1/2020,70967
4/2/2020,72253
4/3/2020,69538
4/6/2020,74073
4/7/2020,76358
4/8/2020,78625
4/9/2020,77682
4/13/2020,78836
4/14/2020,79918
4/15/2020,78831
4/16/2020,77812
4/17/2020,78990
4/20/2020,78973
4/22/2020,80687
4/23/2020,79673
4/24/2020,75331
4/27/2020,78239
4/28/2020,81312
4/29/2020,83171
4/30/2020,80506
5/4/2020,78876
5/5/2020,79471
5/6/2020,79064
5/7/2020,78119
5/8/2020,80263
5/11/2020,79065
5/12/2020,77872
5/13/2020,77772
5/14/2020,79011
5/15/2020,77557
5/18/2020,81194
5/19/2020,80742
5/20/2020,81319
5/21/2020,83027
5/22/2020,82173
5/25/2020,85663
5/26/2020,85469
5/27/2020,87946
5/28/2020,86949
5/29/2020,87403
6/1/2020,88620
6/2/2020,91046
6/3/2020,93002
6/4/2020,93829
6/5/2020,94637
6/8/2020,97645
6/9/2020,96747
6/10/2020,94686
6/12/2020,92795
6/15/2020,92376
6/16/2020,93531
6/17/2020,95547
6/18/2020,96125
6/19/2020,96572
6/22/2020,95336
6/23/2020,95975
6/24/2020,94377
6/25/2020,95983
6/26/2020,93834
6/29/2020,95735
6/30/2020,95056
7/1/2020,96203
7/2/2020,96235
7/3/2020,96765
7/6/2020,98937
7/7/2020,97761
7/8/2020,99770
7/9/2020,99160
7/10/2020,100032
7/13/2020,98697
7/14/2020,100440
7/15/2020,101791
7/16/2020,100553
7/17/2020,102888
7/20/2020,104426
7/21/2020,104310
7/22/2020,104290
7/23/2020,102293
7/24/2020,102382
7/27/2020,104477
7/28/2020,104109
7/29/2020,
7/30/2020,105009
7/31/2020,103001
